IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.172.71,80,false,SIN,Asia Pacific,Singapore,282 ms,5132 kB/s
8.219.147.58,2082,false,SIN,Asia Pacific,Singapore,286 ms,5132 kB/s
47.236.118.216,8080,false,SIN,Asia Pacific,Singapore,263 ms,5131 kB/s
8.219.124.227,2052,false,SIN,Asia Pacific,Singapore,270 ms,5125 kB/s
47.236.202.91,8880,false,SIN,Asia Pacific,Singapore,286 ms,5109 kB/s
47.236.172.95,2086,false,SIN,Asia Pacific,Singapore,265 ms,5100 kB/s
47.236.167.231,8080,false,SIN,Asia Pacific,Singapore,273 ms,5092 kB/s
8.219.189.143,2082,false,SIN,Asia Pacific,Singapore,276 ms,5091 kB/s
8.222.191.138,2086,false,SIN,Asia Pacific,Singapore,277 ms,5087 kB/s
8.217.91.121,2082,false,HKG,Asia Pacific,Hong Kong,70 ms,5085 kB/s
47.236.170.225,8080,false,SIN,Asia Pacific,Singapore,272 ms,5083 kB/s
47.236.87.246,80,false,SIN,Asia Pacific,Singapore,288 ms,5074 kB/s
8.222.160.176,2052,false,SIN,Asia Pacific,Singapore,264 ms,5063 kB/s
47.236.104.11,2052,false,SIN,Asia Pacific,Singapore,278 ms,5063 kB/s
8.222.169.222,2095,false,SIN,Asia Pacific,Singapore,273 ms,5056 kB/s
47.237.95.140,2086,false,SIN,Asia Pacific,Singapore,286 ms,5050 kB/s
47.237.14.220,2095,false,SIN,Asia Pacific,Singapore,276 ms,5047 kB/s
47.236.5.223,8080,false,SIN,Asia Pacific,Singapore,280 ms,5044 kB/s
47.236.169.141,2082,false,SIN,Asia Pacific,Singapore,287 ms,5038 kB/s
47.242.202.230,8080,false,HKG,Asia Pacific,Hong Kong,68 ms,5032 kB/s
8.222.164.209,2086,false,SIN,Asia Pacific,Singapore,282 ms,5026 kB/s
47.238.6.102,80,false,HKG,Asia Pacific,Hong Kong,67 ms,5018 kB/s
8.222.169.222,8880,false,SIN,Asia Pacific,Singapore,285 ms,5011 kB/s
47.236.123.133,2082,false,SIN,Asia Pacific,Singapore,276 ms,5008 kB/s
47.76.37.57,2086,false,HKG,Asia Pacific,Hong Kong,62 ms,5007 kB/s
47.236.189.92,2082,false,SIN,Asia Pacific,Singapore,270 ms,4998 kB/s
